type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,barometric_pressure(hPa),name,desc
T,2022-04-05 17:13:51.128,45.12039333,10.08886833,5,31.360,39.640,28.850,285,,,1004.4611,,
T,2022-04-05 17:13:52.118,45.12045500,10.08851500,5,30.960,39.640,28.752,285,,,1004.4274,,
T,2022-04-05 17:13:53.117,45.12051833,10.08816333,5,30.659,39.641,28.737,285,,,1004.4035,,
T,2022-04-05 17:13:54.128,45.12058167,10.08781167,5,31.359,39.641,28.757,285,,,1004.3644,,
T,2022-04-05 17:13:55.115,45.12064500,10.08746500,5,31.558,39.642,28.675,285,,,1004.3391,,
T,2022-04-05 17:13:56.115,45.12071333,10.08711333,4,31.058,39.642,28.727,285,,,1004.3558,,
T,2022-04-05 17:13:57.131,45.12077833,10.08676167,5,31.358,39.642,28.716,285,,,1004.3621,,
T,2022-04-05 17:13:58.115,45.12084667,10.08641000,4,32.157,39.643,28.711,285,,,1004.3602,,
T,2022-04-05 17:13:59.117,45.12091167,10.08606667,4,32.757,39.643,28.737,285,,,1004.3459,,
T,2022-04-05 17:14:00.129,45.12097500,10.08571000,4,32.856,39.644,28.737,285,,,1004.3495,,
T,2022-04-05 17:14:01.116,45.12104500,10.08535833,4,32.456,39.644,28.701,285,,,1004.3590,,
T,2022-04-05 17:14:02.116,45.12111000,10.08500333,4,34.356,39.644,28.711,285,,,1004.3071,,
T,2022-04-05 17:14:03.128,45.12117833,10.08465333,4,34.655,39.645,28.727,286,,,1004.2775,,
T,2022-04-05 17:14:04.117,45.12124833,10.08430000,5,34.055,39.645,28.752,285,,,1004.2809,,
T,2022-04-05 17:14:05.116,45.12131667,10.08394667,5,34.354,39.646,28.773,285,,,1004.2713,,
T,2022-04-05 17:14:06.128,45.12138333,10.08359333,4,34.454,39.646,28.871,285,,,1004.3002,,
T,2022-04-05 17:14:07.108,45.12145500,10.08324000,5,34.754,39.646,28.835,285,,,1004.3670,,
T,2022-04-05 17:14:08.115,45.12152167,10.08288167,4,34.453,39.647,28.829,285,,,1004.3616,,
T,2022-04-05 17:14:09.135,45.12159167,10.08252667,5,34.653,39.647,28.763,285,,,1004.2833,,
