type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,barometric_pressure(hPa),name,desc
T,2022-04-01 04:25:17,45.14020078,10.02338382,5,50,39744,14110,112,18,22,984,20220401-062517,GPS Logger: 20220401-062517 - Cremona rainy - Parma cloudy (barometer)
T,2022-04-01 04:25:18,45.14015540,10.02354710,5,50,39744,14050,112,17,22,984,,
T,2022-04-01 04:25:19,45.14010749,10.02370561,4,50,39743,14080,112,16,22,984,,
T,2022-04-01 04:25:20,45.14005569,10.02387375,5,50,39743,14300,114,18,23,984,,
T,2022-04-01 04:25:21,45.14000222,10.02404306,4,50,39743,14410,113,18,23,984,,
T,2022-04-01 04:25:22,45.13995524,10.02421103,5,50,39743,14340,112,17,23,984,,
T,2022-04-01 04:25:23,45.13990909,10.02437926,5,50,39742,14490,112,17,23,984,,
T,2022-04-01 04:25:24,45.13985428,10.02455503,5,50,39742,14670,112,17,22,984,,
T,2022-04-01 04:25:25,45.13979833,10.02472795,4,50,39742,14630,113,18,23,984,,
T,2022-04-01 04:25:26,45.13974347,10.02490564,4,50,39742,14650,112,18,23,984,,
T,2022-04-01 04:25:27,45.13969104,10.02507412,4,50,39741,14660,112,18,23,984,,
T,2022-04-01 04:25:28,45.13964045,10.02524687,3,50,39741,14840,113,18,23,984,,
T,2022-04-01 04:25:29,45.13958857,10.02542214,3,50,39741,14830,113,18,23,984,,
T,2022-04-01 04:25:30,45.13953731,10.02560025,3,50,39741,15000,113,18,23,984,,
T,2022-04-01 04:25:31,45.13948631,10.02577987,3,50,39740,15050,113,17,23,984,,
T,2022-04-01 04:25:32,45.13943212,10.02595573,3,50,39740,15100,114,17,21,984,,
T,2022-04-01 04:25:33,45.13937441,10.02612957,3,50,39740,15160,115,17,22,984,,
T,2022-04-01 04:25:34,45.13931331,10.02630349,3,50,39740,15210,116,18,22,984,,
T,2022-04-01 04:25:35,45.13924860,10.02647473,3,50,39739,15110,117,18,22,984,,
