type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,barometric_pressure(hPa),name,desc
T,2022-04-01 04:25:17,45.14020078,10.02338382,5,52.256,39.744,14.110,112,18,22,984.7964,20220401-062517,GPS Logger: 20220401-062517 - Cremona rainy - Parma cloudy (barometer)
T,2022-04-01 04:25:18,45.14015540,10.02354710,5,52.256,39.744,14.050,112,17,22,984.8101,,
T,2022-04-01 04:25:19,45.14010749,10.02370561,4,51.257,39.743,14.080,112,16,22,984.8232,,
T,2022-04-01 04:25:20,45.14005569,10.02387375,5,50.257,39.743,14.300,114,18,23,984.8228,,
T,2022-04-01 04:25:21,45.14000222,10.02404306,4,49.257,39.743,14.410,113,18,23,984.8320,,
T,2022-04-01 04:25:22,45.13995524,10.02421103,5,49.257,39.743,14.340,112,17,23,984.8198,,
T,2022-04-01 04:25:23,45.13990909,10.02437926,5,50.258,39.742,14.490,112,17,23,984.8167,,
T,2022-04-01 04:25:24,45.13985428,10.02455503,5,50.258,39.742,14.670,112,17,22,984.7964,,
T,2022-04-01 04:25:25,45.13979833,10.02472795,4,49.258,39.742,14.630,113,18,23,984.8047,,
T,2022-04-01 04:25:26,45.13974347,10.02490564,4,49.258,39.742,14.650,112,18,23,984.8032,,
T,2022-04-01 04:25:27,45.13969104,10.02507412,4,49.259,39.741,14.660,112,18,23,984.7781,,
T,2022-04-01 04:25:28,45.13964045,10.02524687,3,49.259,39.741,14.840,113,18,23,984.7725,,
T,2022-04-01 04:25:29,45.13958857,10.02542214,3,49.259,39.741,14.830,113,18,23,984.7898,,
T,2022-04-01 04:25:30,45.13953731,10.02560025,3,49.259,39.741,15.000,113,18,23,984.7776,,
T,2022-04-01 04:25:31,45.13948631,10.02577987,3,49.260,39.740,15.050,113,17,23,984.8015,,
T,2022-04-01 04:25:32,45.13943212,10.02595573,3,49.260,39.740,15.100,114,17,21,984.8232,,
T,2022-04-01 04:25:33,45.13937441,10.02612957,3,49.260,39.740,15.160,115,17,22,984.8140,,
T,2022-04-01 04:25:34,45.13931331,10.02630349,3,49.260,39.740,15.210,116,18,22,984.8362,,
T,2022-04-01 04:25:35,45.13924860,10.02647473,3,49.261,39.739,15.110,117,18,22,984.8132,,
T,2022-04-01 04:25:36,45.13918318,10.02664070,3,50.261,39.739,15.160,120,17,22,984.8135,,
T,2022-04-01 04:25:37,45.13911248,10.02680473,3,50.261,39.739,15.170,121,16,22,984.7986,,
T,2022-04-01 04:25:38,45.13903708,10.02696776,3,51.262,39.738,15.200,123,16,22,984.8137,,
T,2022-04-01 04:25:39,45.13896730,10.02713498,3,51.262,39.738,15.220,123,16,21,984.8247,,
T,2022-04-01 04:25:40,45.13889715,10.02729591,3,51.262,39.738,15.250,124,16,22,984.8372,,
T,2022-04-01 04:25:41,45.13882351,10.02745835,3,51.263,39.737,15.300,124,16,22,984.8181,,
T,2022-04-01 04:25:42,45.13874975,10.02762088,2,51.263,39.737,15.350,123,17,22,984.8223,,
T,2022-04-01 04:25:43,45.13867662,10.02778675,2,51.263,39.737,15.350,123,17,22,984.8311,,
T,2022-04-01 04:25:44,45.13860629,10.02794676,3,51.264,39.736,15.420,122,17,21,984.8547,,
T,2022-04-01 04:25:45,45.13852985,10.02810820,3,51.264,39.736,15.410,122,17,22,984.8552,,
T,2022-04-01 04:25:46,45.13845341,10.02827047,3,50.265,39.735,15.470,123,16,22,984.8501,,
T,2022-04-01 04:25:47,45.13837676,10.02843300,2,50.265,39.735,15.440,123,18,22,984.8669,,
T,2022-04-01 04:25:48,45.13829885,10.02859670,3,50.265,39.735,15.480,123,18,22,984.8787,,
T,2022-04-01 04:25:49,45.13821888,10.02875746,3,50.266,39.734,15.430,124,17,21,984.8784,,
T,2022-04-01 04:25:50,45.13814370,10.02891161,3,50.266,39.734,14.710,123,17,21,984.8718,,
T,2022-04-01 04:25:51,45.13807459,10.02906131,3,49.266,39.734,13.270,123,18,21,984.9094,,
T,2022-04-01 04:25:52,45.13801206,10.02919684,4,49.267,39.733,11.250,123,18,21,984.9653,,
T,2022-04-01 04:25:53,45.13796018,10.02929701,4,49.267,39.733,8.940,122,18,21,985.0483,,
T,2022-04-01 04:25:54,45.13791856,10.02938233,4,49.267,39.733,7.320,125,17,21,985.0664,,
T,2022-04-01 04:25:56,45.13785209,10.02951711,4,49.267,39.733,5.040,125,17,22,985.0408,,
T,2022-04-01 04:25:57,45.13782611,10.02956464,4,50.268,39.732,4.160,123,17,22,985.0715,,
T,2022-04-01 04:25:58,45.13780859,10.02959674,6,50.268,39.732,1.650,124,17,23,985.0823,,
T,2022-04-01 04:25:59,45.13779643,10.02960345,5,50.268,39.732,0.190,124,17,23,985.0786,,
T,2022-04-01 04:26:00,45.13778897,10.02960445,5,50.268,39.732,0.020,124,17,22,985.0730,,
T,2022-04-01 04:26:01,45.13778005,10.02959716,5,50.268,39.732,0.030,124,17,21,985.0513,,
T,2022-04-01 04:26:02,45.13777950,10.02959699,4,50.268,39.732,0.000,,17,21,985.0605,,
T,2022-04-01 04:26:03,45.13777950,10.02959699,4,50.268,39.732,0.000,,17,21,985.0608,,
T,2022-04-01 04:26:04,45.13777950,10.02959699,4,50.268,39.732,0.000,,17,22,985.0688,,
T,2022-04-01 04:26:05,45.13777950,10.02959699,4,50.268,39.732,0.000,,17,22,985.0425,,
T,2022-04-01 04:26:06,45.13777950,10.02959699,4,50.268,39.732,0.000,,16,22,985.0405,,
